"tech","announced","status","dim_length","dim_breadth","dim_thickness","weight","sim","display_tech","display_size","display_res","aspect_ratio","ip_certification","os","chipset","cpu","gpu","card_slot","ram","bt_v","gps","radio","nfc","wlan","battery_mah","audio_jack","price","camera","video","selfie","oem","device"
"GSM / HSPA / LTE","2015, March","Available. Released 2015, April","143.5","69.8","8","110","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 5.0 (Lollipop)","Mediatek MT6732","Quad-core 1.5 GHz Cortex-A53","Mali-T760MP2","microSD","1","4","Yes","FM radio","NA","Wi-Fi","2300","Yes","200","13 MP, f/1.8, autofocus, LED flash","1080p@30fps","5 MP","Acer","Liquid Jade Z"
"GSM / HSPA","2015, March","Available. Released 2015, April","154","86","6.4","118","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen","5","480 x 854","16:9","NA","Android 4.4.2 (KitKat)","Mediatek MT6582M","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","microSD","1","4","Yes","FM radio","NA","Wi-Fi","2000","Yes","130","8 MP, autofocus, LED flash","1080p@30fps, 720p@60fps","2 MP","Acer","Liquid Z520"
"GSM / HSPA","2015, March","Available. Released 2015, April","125.3","64","9.6","120","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","Capacitive touchscreen","4","480 x 800","5:3","NA","Android 5.0 (Lollipop)","Qualcomm Snapdragon 200","Dual-core 1.2 GHz Cortex-A7","Adreno 302","microSD","1","4","Yes","FM radio","NA","Wi-Fi","1300","Yes","90","5 MP, autofocus, LED flash","Yes","2 MP","Acer","Liquid Z220"
"GSM / HSPA","2015, March","Available. Released 2015, May","124.9","64","9.6","119","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","TFT capacitive touchscreen","4","480 x 800","5:3","NA","Microsoft Windows Phone 8.1","Qualcomm MSM8210 Snapdragon 200","Dual-core 1.2 GHz Cortex-A7","Adreno 302","microSD","0.5","4","Yes","FM radio","NA","Wi-Fi","1300","Yes","80","5 MP, autofocus, LED flash","Yes","2 MP","Acer","Liquid M220"
"GSM / HSPA / LTE","2015, January","Available. Released 2015, February","136","66.7","9.9","145","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5","540 x 960","16:9","NA","Android 4.4.4 (KitKat)","Mediatek MT6732M","Quad-core 1.3 GHz Cortex-A53","Mali-T760MP2","microSD","1","4","Yes","FM radio","NA","Wi-Fi","2000","Yes","130","5 MP, autofocus, LED flash","Yes, dual shot","2 MP","Acer","Liquid Z410"
"GSM / HSPA / LTE","2014, December","Available. Released 2014, December","143","69","7.8","116","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 4.4.4 (KitKat), upgradable to 5.1 (Lollipop)","Mediatek MT6752M","Octa-core 1.5 GHz Cortex-A53","Mali-T760MP2","microSD","2","4","Yes","FM radio","NA","Wi-Fi","2300","Yes","200","13 MP, f/1.8, autofocus, LED flash, check quality","1080p@30fps, check quality","5 MP, f/2.2","Acer","Liquid Jade S"
"GSM / HSPA","2014, September","Available. Released 2014, Septeber","145","73","8.8","150","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 4.4.2 (KitKat)","Mediatek MT6582","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","microSD","1","4","Yes","FM radio","NA","Wi-Fi","2000","Yes","150","8 MP, autofocus, LED flash","1080p","2 MP","Acer","Liquid Z500"
"GSM / HSPA / LTE","2014, June","Available. Released 2014, September","153.3","80.4","8.5","164","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.7","720 x 1280","16:9","NA","Android 4.4.2 (KitKat)","Mediatek MT6592","Octa-core 1.7 GHz Cortex-A7","Mali-450MP4","microSD","2","4","Yes","FM radio","NA","Wi-Fi","2700","Yes","260","13 MP, autofocus, LED flash","1080p","2 MP","Acer","Liquid X1"
"GSM / HSPA","2014, June","Available. Released 2014, July","140.5","69","7.5","110","Hybrid Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 4.4.2 (KitKat)","Mediatek MT6582","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","microSD","1","4","Yes","FM radio","NA","Wi-Fi","2100","Yes","180","13 MP, autofocus, LED flash","1080p","2 MP","Acer","Liquid Jade"
"GSM / HSPA","2014, June","Available. Released 2014, August","147.3","73","9.9","155","Triple SIM (Micro-SIM)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 4.4.2 (KitKat)","Mediatek MT6582","Quad-core 1.2 GHz Cortex-A7","Mali-400MP2","microSD","2","4","Yes","FM radio","NA","Wi-Fi","3500","Yes","200","8 MP, autofocus, LED flash","1080p","2 MP, LED flash","Acer","Liquid E700"
