"tech","announced","status","dim_length","dim_breadth","dim_thickness","weight","sim","display_tech","display_size","display_res","aspect_ratio","ip_certification","os","chipset","cpu","gpu","card_slot","ram","bt_v","gps","radio","nfc","wlan","battery_mah","audio_jack","price","camera","video","selfie","oem","device"
"GSM / HSPA","2014, June","Available. Released 2014, July","147","75","9.3","140","Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","480 x 854","16:9","NA","Android 4.4.2 (KitKat)","Mediatek MT6582M","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","microSD","1","2","Yes","FM radio","NA","Wi-Fi","2300","Yes","NA","8 MP, autofocus, LED flash","720p@30fps","VGA","Maxwest","Virtue Z5"
"GSM / HSPA","2014, May","Available. Released 2014, June","156.2","78.8","8.7","174","Dual SIM, (Dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","540 x 960","16:9","NA","Android 4.4.2 (KitKat)","Broadcom BCM23550","Quad-core 1.2 GHz Cortex-A7","Broadcom VideoCore","microSD","1","3","Yes","Stereo FM radio","NA","Wi-Fi","2300","Yes","NA","13 MP, autofocus, LED flash","1080p","2 MP","Maxwest","Gravity 5.5"
"GSM / HSPA","2014, April","Available. Released 2014, March","163.3","84","8.9","207","Dual SIM, (Dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6","720 x 1280","16:9","NA","Android 4.4.2 (KitKat)","Broadcom BCM23550","Quad-core 1.2 GHz Cortex-A7","Broadcom VideoCore","microSD","1","4","Yes","Stereo FM radio","NA","Wi-Fi","2800","Yes","NA","13 MP, autofocus, LED flash","1080p","2 MP","Maxwest","Gravity 6"
"GSM / HSPA","2014, April","Available. Released 2014, April","119","62.8","11.4","116","Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen","3.5","320 x 480","3:2","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT6572M","Dual-core 1.0 GHz Cortex-A7","Mali-400","microSD","NA","4","Yes","FM radio","NA","Wi-Fi","1300","Yes","NA","2 MP","Yes","No","Maxwest","Orbit 330G"
"GSM / HSPA","2014, March","Available. Released 2014, March","167.3","85.4","9","210","Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6","540 x 960","16:9","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT6572AW","Dual-core 1.2 GHz Cortex-A7","Mali-400","microSD","0.5","4","Yes","FM radio","NA","Wi-Fi","2350","Yes","NA","8 MP, autofocus, LED flash","720p@30fps","VGA","Maxwest","Orbit 6200T"
"GSM","2014, January","Available. Released 2014, January","119","62.8","11.4","116","Dual SIM (Dual stand-by)","TFT capacitive touchscreen, 256K colors","3.5","320 x 480","3:2","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT6572M","Dual-core 1.0 GHz Cortex-A7","Mali-400","microSD","0.25","4","Yes","FM radio","NA","Wi-Fi","1300","Yes","NA","2 MP, LED flash","Yes","No","Maxwest","Android 330"
"GSM / UMTS","2013, August","Available. Released 2013, August","187","107","9.2","270","Dual SIM (Dual stand-by)","TFT capacitive touchscreen","7","600 x 1024","16:9","NA","Android 4.1.2 (Jelly Bean)","Mediatek MT8377","Dual-core 1.2 GHz Cortex-A9","PowerVR SGX531u","microSD","1","4","Yes","FM radio","NA","Wi-Fi","2800","Yes","NA","2 MP","Yes","VGA","Maxwest","Tab Phone 72DC"
"GSM","2013, September","Available. Released 2013, November","92","45","17.5","82","Dual SIM (Mini-SIM)","TFT, 65K colors","2","128 x 160","NA","NA","NA","NA","NA","NA","microSD","0.03125","2","No","Stereo FM radio","NA","No","800","No","NA","1.3 MP","Yes","No","Maxwest","MX-210TV"
"GSM","2013, September","Available. Released 2013, October","115","62.4","13.4","105","Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","3.5","320 x 480","3:2","NA","Android 4.0 (Ice Cream Sandwich)","NA","1.0 GHz","NA","microSD","0.25","2.1","Yes","Stereo FM radio","NA","Wi-Fi","1450","Yes","NA","2 MP","480p@30fps","No","Maxwest","Android 320"
"GSM / HSPA","2013, October","Available. Released 2013, October","167.3","85.4","9","210","Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6","540 x 960","16:9","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT6572AW","Dual-core 1.2 GHz Cortex-A7","Mali-400","microSD","0.5","4","Yes","FM radio","NA","Wi-Fi","2350","Yes","NA","8 MP, autofocus, LED flash","720p@30fps","VGA","Maxwest","Orbit 6200"
"GSM / HSPA","2013, August","Available. Released 2013, October","143","74.2","9.6","170","Dual SIM (dual stand-by)","TFT capacitive touchscreen","5","540 x 960","16:9","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT6572","Dual-core 1.2 GHz Cortex-A7","Mali-400","microSD","0.5","2.1","Yes","Stereo FM radio","NA","Wi-Fi","2000","Yes","NA","8 MP, autofocus, LED flash","720p@30fps","VGA","Maxwest","Orbit 5400T"
"GSM / HSPA","2013, September","Available. Released 2013, October","127","64","9.3","115","Dual SIM (dual stand-by)","TFT capacitive touchscreen","4","480 x 800","5:3","NA","Android 4.2 (Jelly Bean)","Mediatek MT6572M","Dual-core 1.3 GHz Cortex-A7","Mali-400","microSD","0.5","3","Yes","FM radio","NA","Wi-Fi","1400","Yes","NA","5 MP, autofocus, LED flash","Yes","VGA","Maxwest","Orbit 4400"
"GSM / HSPA","2013, October","Available. Released 2013, October","120.4","63.9","10.7","116","Dual SIM (dual stand-by)","TFT capacitive touchscreen","3.5","320 x 480","3:2","NA","Android 4.2 (Jelly Bean)","Mediatek MT6572M","Dual-core 1.0 GHz Cortex-A7","Mali-400","microSD","0.5","4","No","FM radio","NA","Wi-Fi","1100","Yes","NA","3.15 MP","Yes","1.3 MP","Maxwest","Orbit 3000"
"GSM / HSPA","2013, October","Available. Released 2013, October","152","78","9.9","127","Dual SIM (dual stand-by)","LED-backlit IPS LCD capacitive touchscreen, 16M colors","5","540 x 960","16:9","NA","Android 4.2.2 (Jelly Bean)","Broadcom BCM23550","Quad-core 1.2 GHz Cortex-A7","NA","microSD","0.5","4","Yes","Stereo FM radio","NA","Wi-Fi","2000","Yes","NA","8 MP, autofocus, LED flash","720p@30fps","0.3 MP","Maxwest","Orbit X50"
"GSM / HSPA","2013, June","Available. Released 2013, June","143","72","8.9","170","Dual SIM (Mini-SIM, dual stand-by)","LED-backlit IPS LCD capacitive touchscreen, 16M colors","5","540 x 960","16:9","NA","Android 4.1.2 (Jelly Bean)","Qualcomm MSM8225Q Snapdragon S4 Play","Quad-core 1.2 GHz Cortex-A5","Adreno 203","microSD","1","3","Yes","Stereo FM radio","NA","Wi-Fi","2000","Yes","NA","8 MP, autofocus, dual-LED flash","720p@30fps","2 MP","Maxwest","Orbit Z50"
"GSM / HSPA","2013, April","Available. Released 2013, June","143","74.2","9.6","170","Dual SIM","TFT capacitive touchscreen, 16M colors","5","540 x 960","16:9","NA","Android 4.1.2 (Jelly Bean)","Mediatek MT6577","Dual-core 1.0 GHz Cortex-A9","PowerVR SGX531u","microSD","0.5","3","Yes","Stereo FM radio","NA","Wi-Fi","2000","Yes","NA","8 MP, autofocus, LED flash","1080p@30fps","VGA","Maxwest","Orbit 5400"
"GSM / HSPA","2013, May","Available. Released 2013, July","136.5","70","8.9","170","Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","4.7","480 x 854","16:9","NA","Android 4.2.2 (Jelly Bean)","Broadcom BCM21663","1.2 GHz dual-core Cortex-A9","Broadcom VideoCore IV","microSD","0.5","3","Yes","Stereo FM radio","NA","Wi-Fi","1700","Yes","NA","5 MP, autofocus, LED flash","720p@30fps","VGA","Maxwest","Orbit 4600"
"GSM","2013, July","Available. Released 2013, September","102","57","11","69","Dual SIM (Mini-SIM)","TFT, 256K colors","2","176 x 220","NA","NA","NA","Mediatek MT6250","NA","NA","microSD","0.03125","2.1","No","Stereo FM radio","NA","No","800","Yes","NA","1.3 MP","Yes","No","Maxwest","MX-200TV"
"GSM","2013, July","Available. Released 2013, July","110","45","14","73","Dual SIM (Mini-SIM)","TFT, 65K colors","1.8","128 x 160","NA","NA","NA","NA","NA","NA","microSD","0.03125","2.1","No","Stereo FM radio","NA","No","800","No","NA","VGA","Yes","No","Maxwest","MX-100"
"GSM / HSPA / LTE","2017, September","Available. Released 2017, September","148.2","72.8","8.3","143","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2","720 x 1280","16:9","NA","Android 7.0 (Nougat)","Mediatek MT6750","Octa-core 1.5 GHz","NA","microSD","3","4","Yes","No","NA","Wi-Fi","3070","Yes","130","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash","1080p@30fps","8 MP, f/2.0","Meizu","M6"
"GSM / CDMA / HSPA / LTE","2017, August","Available. Released 2017, September","154.6","75.2","8.4","173","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 7.1.2 (Nougat)","Qualcomm MSM8953 Snapdragon 625","Octa-core 2.0 GHz Cortex-A53","Adreno 506","microSD","4","4.2","Yes","No","NA","Wi-Fi","4000","Yes","170","Dual: 12 MP (f/1.9, 1/2.6"", 1.4 Âµm, Dual Pixel PDAF) + 5 MP (f/2.0, AF), phase detection autofocus, quad-LED dual-tone flash","1080p@30fps","16 MP, f/2.0, 1080p","Meizu","M6 Note"
"GSM / HSPA / EVDO / LTE","2017, July","Available. Released 2017, August","157.3","77.2","7.3","170","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.7","1440 x 2560","16:9","NA","Android 7.0 (Nougat)","Mediatek MT6799 Helio X30","Deca-core (2x2.6 GHz Cortex-A73, 4x1.9 GHz Cortex-A35, 4x2.2 GHz Cortex-A53)","PowerVR 7XTP","No","6","4.2","Yes","No","Yes","Wi-Fi","3500","Yes","500","Dual: 12 MP (f/2.0, 1/2.9"", 1.25 Âµm), phase detection autofocus, dual-LED dual-tone flash, check quality","2160p@30fps, check quality","16 MP, f/2.0","Meizu","Pro 7 Plus"
"GSM / HSPA / EVDO / LTE","2017, July","Available. Released 2017, August","147.6","70.7","7.3","163","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.2","1080 x 1920","16:9","NA","Android 7.0 (Nougat)","Mediatek MT6757T Helio P25 - standard editionMediatek MT6799 Helio X30 - high edition","Octa-core (4x1.6 GHz Cortex-A53 & 4x1.6 GHz Cortex-A35)Deca-core (2x2.6 GHz Cortex-A73, 4x1.9 GHz Cortex-A35, 4x2.2 GHz Cortex-A53)","Mali-T880MP2PowerVR 7XTP","No","4","4.2","Yes","No","Yes","Wi-Fi","3000","Yes","400","Dual: 12 MP (f/2.0, 1/2.9"", 1.25 Âµm), phase detection autofocus, dual-LED dual-tone flash","2160p@30fps","16 MP, f/2.0","Meizu","Pro 7"
"GSM / HSPA / LTE","2017, May","Available. Released 2017, June","144","70.5","8.3","135","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6737","Quad-core 1.3 GHz Cortex-A53","Mali-T720MP1","microSD","2","4.1","Yes","To be confirmed","NA","Wi-Fi","3000","Yes","140","8 MP, f/2.0, autofocus, dual-LED dual-tone flash","720p@30fps","5 MP, f/2.2","Meizu","M5c"
"GSM / HSPA / LTE","2017, April","Available. Released 2017, April","153.7","75.7","7.5","155","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 7.0 (Nougat)","Mediatek MT6757 Helio P20","Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)","Mali-T880MP2","microSD","4","4.2","Yes","To be confirmed","NA","Wi-Fi","3400","Yes","210","13 MP, f/2.2, phase detection autofocus, Quad-LED dual-tone flash","1080p@30fps","8 MP (f/2.0, 1.4 Âµm), 1080p","Meizu","E2"
"GSM / HSPA / LTE","2017, February","Available. Released 2017, February","148.2","72.5","8.4","143","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2","720 x 1280","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6753","Octa-core 1.3 GHz Cortex-A53","Mali-T720MP2","microSD","3","4","Yes","No","NA","Wi-Fi","3000","Yes","130","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash, check quality","1080p@30fps, check quality","5 MP, f/2.0","Meizu","M5s"
"GSM / HSPA / LTE","2016, December","Available. Released 2016, December","153.6","75.8","8.2","175","Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6755 Helio P10","Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Mali-T860MP2","microSD","4","4","Yes","No","NA","Wi-Fi","4000","Yes","190","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash, check quality","1080p@30fps, check quality","5 MP, f/2.0","Meizu","M5 Note"
"GSM / HSPA / LTE","2016, November","Available. Released 2016, December","153.8","76","7.4","165","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6757 Helio P20","Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)","Mali-T880MP2","microSD","4","4.1","Yes","No","NA","Wi-Fi","3200","Yes","NA","12 MP (f/2.0, 1/2.9"", 1.25 Âµm), phase detection autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP (f/2.0, 1.4 Âµm), 1080p","Meizu","M3x"
"GSM / HSPA / EVDO / LTE","2016, November","Available. Released 2016, November","155.6","77.3","7.3","158","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.7","1440 x 2560","16:9","NA","Android 6.0 (Marshmallow)","Exynos 8890 Octa","Octa-core (4x2.0 GHz Mongoose & 4x1.5 GHz Cortex-A53) - 64 GB versionOcta-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53) - 128 GB version","Mali-T880 MP10 - 64 GB versionMali-T880 MP12 - 128 GB version","No","4","4.1","Yes","No","Yes","Wi-Fi","3400","Yes","550","12 MP (f/2.0, 1/2.9"", 1.25 Âµm), 4-axis OIS, phase detection & laser autofocus, ten-LED dual-tone flash, check quality","2160p@30fps, 1080p@30fps, check quality","5 MP (f/2.0, 1.4 Âµm), 1080p","Meizu","Pro 6 Plus"
"GSM / HSPA / LTE","2016, April","Available. Released 2016, April","149.9","74.7","7.6","149","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 5.0.1 (Lollipop)","Mediatek MT6795 Helio X10","Octa-core 2.0 GHz Cortex-A53","PowerVR G6200","No","3","4.1","Yes","No","NA","Wi-Fi","3150","Yes","190","16 MP, autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP","Meizu","MX5e"
"GSM / HSPA / LTE","2016, August","Available. Released 2016, August","141.9","69.6","7.9","139","Dual SIM","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android OS","Mediatek MT6750","Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Mali-T860MP2","No","3","4","Yes","No","NA","Wi-Fi","2760","Yes","160","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP, f/2.0","Meizu","U10"
"GSM / HSPA / LTE","2016, August","Available. Released 2016, August","153","75.4","7.7","158","Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6755 Helio P10","Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Mali-T860MP2","microSD","3","4","Yes","No","NA","Wi-Fi","3260","Yes","190","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP, f/2.0","Meizu","U20"
"GSM / HSPA / EVDO / LTE","2016, November","Available. Released 2016, December","147.7","70.8","7.3","163","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.2","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6797T Helio X25","Deca-core (2x2.5 GHz Cortex-A72, 4x2 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)","Mali-T880 MP4","No","4","4.1","Yes","No","Yes","Wi-Fi","3060","Yes","430","12 MP (f/2.0, 1/2.9"", 1.25 Âµm), 4-axis OIS, phase detection & laser autofocus, ten-LED dual-tone flash","2160p@30fps","5 MP (f/2.0, 1.4 Âµm), 1080p","Meizu","Pro 6s"
"GSM / HSPA / LTE","2016, October","Available. Released 2016, November","147.3","72.8","8.2","138","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2","720 x 1280","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6750","Octa-core 1.5 GHz Cortex-A53","Mali-T860MP2","microSD","3","4","Yes","No","NA","Wi-Fi","3070","Yes","120","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash, check quality","1080p@30fps, check quality","5 MP, f/2.0, 1080p","Meizu","M5"
"GSM / HSPA / LTE","2016, September","Available. Released 2016, September","163.4","81.6","7.9","189","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6755 Helio P10","Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Mali-T860MP2","microSD","3","4.1","Yes","No","NA","Wi-Fi","4100","Yes","270","13 MP (f/2.2, 1/3""), phase detection autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP, f/2.0","Meizu","M3 Max"
"GSM / HSPA / LTE","2016, August","Available. Released 2016, August","153.6","75.8","7.9","172","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6755 Helio P10","Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Mali-T860MP2","microSD","3","4.1","Yes","No","NA","Wi-Fi","3100","Yes","220","13 MP (f/2.2, 1/3""), phase detection autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP, f/2.0","Meizu","M3e"
"GSM / HSPA / LTE","2016, July","Available. Released 2016, July","153.6","75.2","7.3","155","Dual SIM (Nano-SIM, dual stand-by)","TDDI capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6797 Helio X20","Deca-core (2x2.3GHz Cortex-A72, 4x1.9GHz Cortex-A53, 4x1.4GHz Cortex-A53)","Mali-T880 MP4","No","4","4.1","Yes","No","NA","Wi-Fi","3060","Yes","300","12 MP (f/2.0, 1/2.9"", 1.25 Âµm), phase detection autofocus, dual-LED dual-tone flash, check quality","2160p@30fps, check quality","5 MP, f/2.0","Meizu","MX6"
"GSM / HSPA / LTE","2016, June","Available. Released 2016, June","141.9","69.9","8.3","138","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6750","Octa-core 1.5 GHz Cortex-A53","Mali-T860MP2","microSD","3","4","Yes","No","NA","Wi-Fi","3020","Yes","120","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP, f/2.0","Meizu","M3s"
"GSM / HSPA / LTE","2016, April","Available. Released 2016, May","141.5","69.5","8.3","132","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6750","Octa-core 1.5 GHz Cortex-A53","Mali-T860MP2","microSD","3","4","Yes","No","NA","Wi-Fi","2870","Yes","130","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP, f/2.0","Meizu","M3"
"GSM / HSPA / EVDO / LTE","2016, April","Available. Released 2016, May","147.7","70.8","7.3","160","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.2","1080 x 1920","16:9","NA","Android 6.0 (Marshmallow)","Mediatek MT6797T Helio X25","Deca-core (2x2.5 GHz Cortex-A72, 4x2 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)","Mali-T880 MP4","No","4","4.1","Yes","No","Yes","Wi-Fi","2560","Yes","410","21 MP (f/2.2, 31mm, 1/2.4""), phase detection & laser autofocus, ten-LED dual-tone flash, check quality","2160p@30fps, 720p@100fps, check quality","5 MP (f/2.0, 1.4 Âµm), 1080p","Meizu","Pro 6"
"GSM / HSPA / LTE","2016, April","Available. Released 2016, April","153.6","75.5","8.2","163","Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6755 Helio P10","Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Mali-T860MP2","microSD","3","4","Yes","No","NA","Wi-Fi","4100","Yes","180","13 MP, f/2.2, phase detection autofocus, dual-LED dual-tone flash, check quality","1080p@30fps, check quality","5 MP, f/2.0, 1080p","Meizu","M3 Note"
"GSM / HSPA / LTE","Not announced yet","Cancelled","NA","NA","NA","NA","Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","4.7","1080 x 1920","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6797 Helio X20","Deca-core (2x2.3 GHz Cortex-A72, 4x2 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)","Mali-T880 MP4","microSD","3","4.1","Yes","No","NA","Wi-Fi","NA","Yes","360","16 MP, f/2.2, autofocus, dual-LED dual-tone flash","1080p@30fps","5 MP, f/2.0","Meizu","PRO 5 mini"
"GSM / HSPA / LTE","2015, October","Available. Released 2015, October","150.7","75.3","8.2","NA","Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android, 5.1.1 (Lollipop)","Mediatek MT6795 Helio X10","Octa-core 2.0 GHz Cortex-A53","PowerVR G6200","microSD","2","4.1","Yes","No","NA","Wi-Fi","3140","Yes","170","13 MP, f/2.2, autofocus, dual-LED dual-tone flash, check quality","1080p@30fps, check quality","5 MP, f/2.0, 1080p","Meizu","M1 Metal"
"GSM / HSPA / LTE","2015, September","Available. Released 2015, October","156.7","78","7.5","168","Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","5.7","1080 x 1920","16:9","NA","Android 5.1 (Lollipop)","Exynos 7420 Octa","Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53)","Mali-T760MP8","microSD","3","4.1","Yes","No","Yes","Wi-Fi","3050","Yes","390","21 MP (f/2.2, 31mm, 1/2.4"", 1.12 Âµm), phase detection & laser autofocus, dual-LED dual-tone flash, check quality","2160p@30fps, check quality","5 MP (f/2.0, 27mm), 1080p@30fps","Meizu","PRO 5"
"GSM / HSPA / LTE","2015, July","Available. Released 2015, July","140.1","68.9","8.7","131","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6735","Quad-core 1.3 GHz Cortex-A53","Mali-T720MP2","microSD","2","4","Yes","No","NA","Wi-Fi","2500","Yes","130","13 MP, f/2.2, autofocus, LED flash","1080p@30fps","5 MP, f/2.0","Meizu","M2"
"GSM / HSPA / LTE","2015, June","Available. Released 2015, July","149.9","74.7","7.6","149","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 5.0.1 (Lollipop)","Mediatek MT6795 Helio X10","Octa-core 2.2 GHz Cortex-A53","PowerVR G6200","No","3","4.1","Yes","No","NA","Wi-Fi","3150","Yes","210","20.7 MP (f/2.2, 1/2.3"", 1.2 Âµm), laser autofocus, dual-LED dual-tone flash, check quality","2160p@30fps, 1080p@30fps, 720p@100fps, check quality","5 MP, f/2.2, 1080p@30fps","Meizu","MX5"
"GSM / HSPA / LTE","2015, June","Available. Released 2015, June","150.9","75.2","8.7","149","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IGZO IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 5.0 (Lollipop)","Mediatek MT6753","Octa-core 1.3 GHz Cortex-A53","Mali-T720MP3","microSD","2","4","Yes","No","NA","Wi-Fi","3100","Yes","200","13 MP (f/2.2, 1/3""), autofocus, dual-LED dual-tone flash, check quality","1080p, 1080p@30fps, check quality","5 MP (f/2.0, 1/5"", 1.12 Âµm), 1080p","Meizu","M2 Note"
"GSM / HSPA / LTE","2015, January","Available. Released 2015, April","140.2","72.1","8.9","128","Micro-SIM","TFT capacitive touchscreen, 16M colors","5","768 x 1280","5:3","NA","Android 4.4.4 (KitKat)","Mediatek MT6732","Quad-core 1.5 GHz Cortex-A53","Mali-T760MP2","microSD","1","4","Yes","No","NA","Wi-Fi","2500","Yes","100","13 MP, f/2.2, autofocus, LED flash","1080p@30fps","5 MP, f/2.0","Meizu","M1"
"GSM / HSPA / LTE","2014, December","Available. Released 2015, January","150.7","75.2","8.9","145","Dual SIM (Micro-SIM, dual stand-by)","IGZO IPS LCD capacitive touchscreen, 16M colors","5.5","1080 x 1920","16:9","NA","Android 4.4.4 (KitKat)","Mediatek MT6752","Octa-core 1.7 GHz Cortex-A53","Mali-T760","No","2","4","Yes","No","NA","Wi-Fi","3140","Yes","130","13 MP (f/2.2, 1/3""), autofocus, dual-LED dual-tone flash, check quality","1080p@30fps, check quality","5 MP, f/2.0","Meizu","M1 Note"
"GSM / HSPA / LTE","2014, October","Available. Released 2014, December","150.1","77","9","158","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.5","1536 x 2560","5:3","NA","Android 4.4.4 (KitKat)","Exynos 5430 Octa","Octa-core (4x2.0 GHz Cortex-A15 & 4x1.5 GHz Cortex-A7)","Mali-T628MP6","No","3","4","Yes","No","Yes","Wi-Fi","3350","Yes","400","20.7 MP (f/2.2, 1/2.3""), autofocus, dual-LED dual-tone flash, check quality","2160p@30fps, 1080p@30fps, check quality","5 MP, f/2.0, 1080p@30fps","Meizu","MX4 Pro"
"GSM / HSPA / LTE","2014, September","Available. Released 2014, September","144","75.2","8.9","147","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.36","1152 x 1920","5:3","NA","Android 4.4.4 (KitKat)","MediaTek MT6595","Octa-core (4x2.2 GHz Cortex-A17 & 4x1.7 GHz Cortex-A7)","PowerVR G6200","No","2","4","Yes","No","NA","Wi-Fi","3100","Yes","340","20.7 MP (f/2.2, 1/2.3""), autofocus, dual-LED dual-tone flash, check quality","2160p@30fps, 1080p@30fps, check quality","2 MP, 1080p@30fps","Meizu","MX4"
